,dataset,6,2,3,1,11
38,AbdomenCT1K,63.38,11.515,11.515,8.72,4.86
39,AbdomenCT1K,69.86,10.145,10.145,6.61,3.24
40,AbdomenCT1K,71.45,8.335,8.335,8.25,3.62
41,AbdomenCT1K,69.15,10.265,10.265,7.56,2.76
42,AbdomenCT1K,68.07,10.145,10.145,7.84,3.79
43,AbdomenCT1K,70.28,7.635,7.635,10.17,4.28
44,AbdomenCT1K,68.25,6.76,6.76,15.03,3.2
45,AbdomenCT1K,70.12,7.34,7.34,9.63,5.56
46,AbdomenCT1K,71.41,12.055,12.055,3.24,1.24
47,AbdomenCT1K,71.45,7.435,7.435,9.92,3.76
48,AbdomenCT1K,65.14,8.55,8.55,13.87,3.89
49,AbdomenCT1K,65.78,9.83,9.83,10.01,4.55
50,AbdomenCT1K,76.32,6.22,6.22,6.84,4.41
51,AbdomenCT1K,61.12,8.405,8.405,17.31,4.76
52,AbdomenCT1K,77.34,5.755,5.755,7.84,3.31
53,AbdomenCT1K,70.97,7.765,7.765,9.53,3.96
54,AbdomenCT1K,72.32,6.85,6.85,11.03,2.95
55,AbdomenCT1K,78.33,6.025,6.025,6.16,3.46
56,AbdomenCT1K,63.95,9.035,9.035,14.28,3.7
57,AbdomenCT1K,66.57,7.835,7.835,11.87,5.89
58,AbdomenCT1K,72.74,6.33,6.33,10.83,3.76
59,AbdomenCT1K,69.54,8.415,8.415,9.11,4.52
60,AbdomenCT1K,71.82,9.745,9.745,4.96,3.73
61,AbdomenCT1K,67.67,8.905,8.905,10.45,4.07
62,AbdomenCT1K,67.02,9.265,9.265,9.03,5.43
63,AbdomenCT1K,69.62,9.47,9.47,7.59,3.86
64,AbdomenCT1K,76.17,6.53,6.53,6.96,3.82
65,AbdomenCT1K,65.36,7.99,7.99,14.63,4.03
66,AbdomenCT1K,70.16,7.56,7.56,8.9,5.82
67,AbdomenCT1K,68.77,6.58,6.58,13.47,4.6
68,AbdomenCT1K,73.23,8.23,8.23,5.59,4.72
69,AbdomenCT1K,63.28,9.585,9.585,8.03,9.52
70,AbdomenCT1K,64.81,8.88,8.88,11.53,5.9
71,AbdomenCT1K,72.22,4.795,4.795,12.41,5.78
72,AbdomenCT1K,71.38,7.2,7.2,9.48,4.74
73,AbdomenCT1K,56.23,10.145,10.145,16.94,6.53
74,AbdomenCT1K,71.06,9.43,9.43,5.22,4.87
75,AbdomenCT1K,71.35,8.305,8.305,7.48,4.57
76,AbdomenCT1K,59.26,5.075,5.075,28.45,2.14
77,AbdomenCT1K,67.36,9.665,9.665,8.35,4.96
78,AbdomenCT1K,66.98,10.715,10.715,5.82,5.76
79,AbdomenCT1K,68.12,5.925,5.925,13.79,6.24
80,AbdomenCT1K,63.47,9.67,9.67,11.54,5.65
81,AbdomenCT1K,62.19,7.085,7.085,16.59,7.04
82,AbdomenCT1K,70.46,8.45,8.45,5.48,7.16
83,AbdomenCT1K,65.53,8.65,8.65,10.67,6.5
84,AbdomenCT1K,61.98,11.685,11.685,7.63,7.02
85,AbdomenCT1K,75.03,8.855,8.855,3.76,3.49
86,AbdomenCT1K,70.61,6.53,6.53,14.31,2.02
87,AbdomenCT1K,59.27,14.18,14.18,7.21,5.15
88,AbdomenCT1K,76.94,7.08,7.08,5.76,3.14
89,AbdomenCT1K,69.87,8.205,8.205,11.1,2.63
90,AbdomenCT1K,71.24,8.205,8.205,9.11,3.24
91,AbdomenCT1K,72.29,8.73,8.73,6.86,3.4
92,AbdomenCT1K,68.06,7.285,7.285,13.38,4
93,AbdomenCT1K,68.77,11.08,11.08,5.74,3.33
94,AbdomenCT1K,71.63,7.205,7.205,12.37,1.6
95,AbdomenCT1K,77.47,7.44,7.44,4.64,3
96,AbdomenCT1K,61.34,10.955,10.955,12.52,4.22
97,AbdomenCT1K,62.73,6.38,6.38,22.23,2.27
98,AbdomenCT1K,71.37,9.145,9.145,7.89,2.45
99,AbdomenCT1K,73.1,7.485,7.485,8.16,3.78
100,AbdomenCT1K,70.51,9.035,9.035,7.95,3.46
101,AbdomenCT1K,68.81,9.105,9.105,9.75,3.24
102,AbdomenCT1K,74.74,8.51,8.51,4.89,3.35
103,AbdomenCT1K,65.48,9.815,9.815,11.95,2.94
104,AbdomenCT1K,72.21,7.28,7.28,9.63,3.6
105,AbdomenCT1K,67.89,11.64,11.64,6.71,2.12
106,AbdomenCT1K,69.1,8.41,8.41,11.89,2.19
107,AbdomenCT1K,69.69,9.275,9.275,10.3,1.46
108,AbdomenCT1K,55.99,9.965,9.965,21.96,2.12
109,AbdomenCT1K,69.09,8.135,8.135,13.18,1.47
110,AbdomenCT1K,69.76,9.51,9.51,7.59,3.63
111,AbdomenCT1K,69.81,9.1,9.1,9.45,2.54
112,AbdomenCT1K,61.98,8.835,8.835,16.96,3.39
113,AbdomenCT1K,74.64,7.29,7.29,8.55,2.23
114,AbdomenCT1K,65.95,9.355,9.355,11.24,4.1
115,AbdomenCT1K,70.55,8.38,8.38,10.41,2.28
116,AbdomenCT1K,69.49,9.54,9.54,6.89,4.54
117,AbdomenCT1K,69.62,7.87,7.87,11.51,3.13
118,AbdomenCT1K,74.22,9.35,9.35,2.77,4.31
119,AbdomenCT1K,64.2,8.4,8.4,13.68,5.32
120,AbdomenCT1K,67.39,9.42,9.42,10.45,3.33
121,AbdomenCT1K,69,8.825,8.825,9.83,3.52
122,AbdomenCT1K,67.81,7.61,7.61,10.23,6.74
123,AbdomenCT1K,68.63,9.42,9.42,7.96,4.58
124,AbdomenCT1K,72.81,8.08,8.08,8.49,2.55
125,AbdomenCT1K,66.45,6.995,6.995,16.63,2.93
126,AbdomenCT1K,77.07,5.84,5.84,7.9,3.35
127,AbdomenCT1K,71.52,6.995,6.995,8.33,6.16
128,AbdomenCT1K,62.19,6.065,6.065,7.16,18.52
129,AbdomenCT1K,69.91,8.16,8.16,10.78,2.99
130,AbdomenCT1K,67.87,8.79,8.79,9.24,5.32
131,AbdomenCT1K,69.58,6.02,6.02,14.71,3.67
132,AbdomenCT1K,70.94,8.52,8.52,8.26,3.76
133,AbdomenCT1K,66.7,8.42,8.42,12.72,3.75
134,AbdomenCT1K,73.18,6.795,6.795,10.08,3.15
135,AbdomenCT1K,71.84,8.255,8.255,7.79,3.85
136,AbdomenCT1K,69.32,7.9,7.9,11.98,2.9
137,AbdomenCT1K,68.48,9.725,9.725,7.73,4.33
138,AbdomenCT1K,75.1,6.655,6.655,10.25,1.35
139,AbdomenCT1K,74.22,7.57,7.57,6.41,4.24
140,AbdomenCT1K,84.54,0.745,0.745,11.96,2.01
141,AbdomenCT1K,70.69,9.15,9.15,8.21,2.79
142,AbdomenCT1K,65,10.545,10.545,8.63,5.28
143,AbdomenCT1K,69.86,8.82,8.82,9.43,3.08
144,AbdomenCT1K,66.04,9.1,9.1,12.37,3.39
145,AbdomenCT1K,68.38,8.385,8.385,10.98,3.87
146,AbdomenCT1K,74.87,7.035,7.035,7.35,3.71
147,AbdomenCT1K,61.98,8.235,8.235,18.22,3.33
148,AbdomenCT1K,67.48,8.345,8.345,12.56,3.27
149,AbdomenCT1K,56.06,7.47,7.47,20.9,8.09
150,AbdomenCT1K,68.1,9.445,9.445,9.97,3.04
151,AbdomenCT1K,66.95,7.97,7.97,13.26,3.85
152,AbdomenCT1K,67.75,8.01,8.01,10.72,5.51
153,AbdomenCT1K,60.24,8.575,8.575,19.29,3.32
154,AbdomenCT1K,60.93,13.41,13.41,8.33,3.93
155,AbdomenCT1K,71.66,9.02,9.02,7.1,3.2
156,AbdomenCT1K,61.12,15.985,15.985,5.15,1.76
157,AbdomenCT1K,69.46,7.61,7.61,12.27,3.05
158,AbdomenCT1K,70.72,8.095,8.095,9.79,3.29
159,AbdomenCT1K,53.21,18.29,18.29,8.3,1.91
160,AbdomenCT1K,68.54,7.105,7.105,14.18,3.07
161,AbdomenCT1K,59.13,11.96,11.96,12.9,4.05
162,AbdomenCT1K,70.08,13.25,13.25,0,3.42
163,AbdomenCT1K,65.31,8.71,8.71,12.64,4.63
164,AbdomenCT1K,73.83,8.72,8.72,4.97,3.76
165,AbdomenCT1K,71.95,10.015,10.015,4.51,3.51
166,AbdomenCT1K,72.47,8.525,8.525,7.07,3.4
167,AbdomenCT1K,72.09,8.02,8.02,9.75,2.12
168,AbdomenCT1K,74.56,6.05,6.05,11.39,1.95
169,AbdomenCT1K,66.74,9.245,9.245,10.36,4.41
170,AbdomenCT1K,72.14,8.9,8.9,5.85,4.21
171,AbdomenCT1K,61.28,9.65,9.65,14.38,5.04
172,AbdomenCT1K,73.94,8.16,8.16,6.63,3.11
173,AbdomenCT1K,78.48,5.015,5.015,7.11,4.38
174,AbdomenCT1K,67.47,10.405,10.405,6.62,5.09
175,AbdomenCT1K,69.14,7.315,7.315,11.85,4.38
176,AbdomenCT1K,63.65,9.115,9.115,15.38,2.73
177,AbdomenCT1K,75.39,8.22,8.22,4.57,3.6
178,AbdomenCT1K,67.15,7.79,7.79,14.6,2.67
179,AbdomenCT1K,69.32,8.445,8.445,11.17,2.63
180,AbdomenCT1K,76.25,6.36,6.36,9.24,1.79
181,AbdomenCT1K,60.78,11.505,11.505,11.85,4.36
182,AbdomenCT1K,70,9.465,9.465,6.29,4.78
183,AbdomenCT1K,72.02,7.245,7.245,10.35,3.14
184,AbdomenCT1K,69.84,8.66,8.66,9.69,3.14
185,AbdomenCT1K,65.61,8.57,8.57,13,4.24
186,AbdomenCT1K,65.39,9.525,9.525,12.61,2.95
187,AbdomenCT1K,74.14,7.165,7.165,8.36,3.17
188,AbdomenCT1K,67.06,8.425,8.425,11.21,4.88
189,AbdomenCT1K,65.94,8.965,8.965,11.29,4.84
190,AbdomenCT1K,69.49,9.3,9.3,7.38,4.52
191,AbdomenCT1K,62.03,6.485,6.485,23.07,1.93
192,AbdomenCT1K,57.48,7,7,24.69,3.82
193,AbdomenCT1K,64.92,9.46,9.46,10.76,5.4
194,AbdomenCT1K,68.7,6.595,6.595,13.94,4.17
195,AbdomenCT1K,76.25,7.955,7.955,5,2.84
196,AbdomenCT1K,68.36,6.89,6.89,14.41,3.45
197,AbdomenCT1K,81.83,5.975,5.975,4.05,2.17
198,AbdomenCT1K,76.38,9.07,9.07,4.11,1.37
199,AbdomenCT1K,66.6,8.715,8.715,12.25,3.72
200,AbdomenCT1K,67.11,6.76,6.76,15.25,4.12
201,AbdomenCT1K,76.9,6.295,6.295,6.09,4.42
202,AbdomenCT1K,68.4,5.9,5.9,15.39,4.41
203,AbdomenCT1K,72.29,6.54,6.54,9.9,4.74
204,AbdomenCT1K,67.8,10.125,10.125,8.56,3.39
205,AbdomenCT1K,73.04,5.595,5.595,13.64,2.12
206,AbdomenCT1K,64.94,7.96,7.96,16.1,3.04
207,AbdomenCT1K,70.69,7.27,7.27,10,4.76
208,AbdomenCT1K,73.6,7.95,7.95,8.61,1.88
209,AbdomenCT1K,72.74,8.675,8.675,6.61,3.3
210,AbdomenCT1K,75.63,6.79,6.79,7.5,3.29
211,AbdomenCT1K,56.08,4,4,33.23,2.69
212,AbdomenCT1K,71.92,8.175,8.175,8.64,3.09
213,AbdomenCT1K,66.5,7.78,7.78,14.38,3.56
214,AbdomenCT1K,71.89,7.795,7.795,7.4,5.13
215,AbdomenCT1K,76.07,7.37,7.37,5.69,3.5
216,AbdomenCT1K,71.11,7.135,7.135,10.55,4.08
217,AbdomenCT1K,71.51,7.86,7.86,8.98,3.79
218,AbdomenCT1K,71.6,8.02,8.02,9.02,3.34
219,AbdomenCT1K,69.35,9.335,9.335,7.04,4.94
220,AbdomenCT1K,73.56,6.895,6.895,9.14,3.51
221,AbdomenCT1K,68.49,6.58,6.58,14.93,3.41
222,AbdomenCT1K,56.38,3.41,3.41,34.35,2.45
223,AbdomenCT1K,67.78,8.735,8.735,10.88,3.87
224,AbdomenCT1K,65.91,9.545,9.545,9,5.99
225,AbdomenCT1K,74.63,7.785,7.785,5.07,4.73
226,AbdomenCT1K,48.29,18.995,18.995,9.81,3.91
227,AbdomenCT1K,69.87,7.97,7.97,8.25,5.94
228,AbdomenCT1K,72.95,5.68,5.68,9.15,6.54
229,AbdomenCT1K,69.65,9.14,9.14,8.81,3.26
230,AbdomenCT1K,62.59,10.165,10.165,11.1,5.98
231,AbdomenCT1K,73.91,8.175,8.175,7.04,2.7
232,AbdomenCT1K,66.25,6.725,6.725,16.15,4.15
233,AbdomenCT1K,70,6.715,6.715,10.57,6
234,AbdomenCT1K,75.13,5.175,5.175,8.71,5.82
235,AbdomenCT1K,66.1,7.475,7.475,14,4.95
236,AbdomenCT1K,65.88,7.645,7.645,10.83,8
237,AbdomenCT1K,65.22,9.4,9.4,9.95,6.04
238,AbdomenCT1K,69.7,9.47,9.47,6.15,5.22
239,AbdomenCT1K,66.02,10.835,10.835,7.88,4.44
240,AbdomenCT1K,78.47,6.28,6.28,5.75,3.23
241,AbdomenCT1K,70.96,6.68,6.68,11.77,3.91
242,AbdomenCT1K,67.65,7.87,7.87,5.63,10.98
243,AbdomenCT1K,67.68,5.695,5.695,13.63,7.3
244,AbdomenCT1K,75.84,5.955,5.955,8.81,3.44
245,AbdomenCT1K,70.85,9.595,9.595,4.96,5
246,AbdomenCT1K,69.18,7.925,7.925,10.79,4.19
247,AbdomenCT1K,63.39,11.135,11.135,10.48,3.86
248,AbdomenCT1K,73.97,7.63,7.63,6.82,3.96
249,AbdomenCT1K,64.16,8.72,8.72,13.84,4.56
250,AbdomenCT1K,71.49,9.505,9.505,7.23,2.27
251,AbdomenCT1K,62.69,9.5,9.5,15.78,2.53
252,AbdomenCT1K,73.81,7.095,7.095,9.15,2.84
253,AbdomenCT1K,70.29,11.565,11.565,4.47,2.11
254,AbdomenCT1K,59.39,5.68,5.68,26.8,2.45
255,AbdomenCT1K,66.18,10.61,10.61,7.3,5.3
256,AbdomenCT1K,57.04,15.19,15.19,8.09,4.49
257,AbdomenCT1K,66.33,9.725,9.725,9.65,4.58
258,AbdomenCT1K,67.14,9.29,9.29,10.68,3.6
259,AbdomenCT1K,67.19,10.91,10.91,8.21,2.78
260,AbdomenCT1K,66.79,11.03,11.03,7.02,4.13
261,AbdomenCT1K,72.25,9.915,9.915,5.68,2.24
262,AbdomenCT1K,66.62,9.22,9.22,10.64,4.3
263,AbdomenCT1K,69.88,9.695,9.695,6.18,4.55
264,AbdomenCT1K,74.01,6.35,6.35,11.1,2.19
265,AbdomenCT1K,71.62,6.71,6.71,11.96,2.99
266,AbdomenCT1K,71.12,7.205,7.205,11.23,3.24
267,AbdomenCT1K,71.75,6.325,6.325,10.41,5.19
268,AbdomenCT1K,74.23,6.935,6.935,9.49,2.41
269,AbdomenCT1K,70.83,8.515,8.515,7.88,4.26
270,AbdomenCT1K,61.86,7.695,7.695,20.4,2.35
271,AbdomenCT1K,72.24,7.015,7.015,8.79,4.94
272,AbdomenCT1K,72.34,9.36,9.36,5.41,3.53
273,AbdomenCT1K,74.03,6.69,6.69,10.21,2.38
274,AbdomenCT1K,64.31,10.23,10.23,12.77,2.45
275,AbdomenCT1K,74.68,7.12,7.12,7.11,3.97
276,AbdomenCT1K,64.84,11.225,11.225,8.42,4.29
277,AbdomenCT1K,71.89,7.825,7.825,8.36,4.09
278,AbdomenCT1K,74.54,7.91,7.91,6.45,3.19
279,AbdomenCT1K,68.17,7.91,7.91,12.9,3.11
280,AbdomenCT1K,79.97,6.91,6.91,5.08,1.13
281,AbdomenCT1K,71.91,8.02,8.02,8.43,3.62
282,AbdomenCT1K,74.76,6.955,6.955,8.44,2.89
283,AbdomenCT1K,76.31,6.6,6.6,7.45,3.04
284,AbdomenCT1K,67.15,10.695,10.695,5.96,5.49
285,AbdomenCT1K,66.18,8.5,8.5,10.95,5.87
286,AbdomenCT1K,67.37,9.535,9.535,9.29,4.27
287,AbdomenCT1K,66.96,8.005,8.005,7.56,9.46
288,AbdomenCT1K,64.89,8.905,8.905,14.44,2.85
289,AbdomenCT1K,68.65,7.185,7.185,12.54,4.44
290,AbdomenCT1K,37,17.935,17.935,18.26,8.87
291,AbdomenCT1K,69.09,6.53,6.53,14.36,3.49
292,AbdomenCT1K,72.6,8.11,8.11,5.75,5.44
293,AbdomenCT1K,69.69,7.235,7.235,11.68,4.16
294,AbdomenCT1K,64.51,8.055,8.055,14.81,4.57
295,AbdomenCT1K,72.8,8.52,8.52,7.81,2.35
296,AbdomenCT1K,68.91,7.37,7.37,11.55,4.8
297,AbdomenCT1K,64.65,12.085,12.085,8.52,2.66
298,AbdomenCT1K,74.91,7.03,7.03,7.26,3.77
299,AbdomenCT1K,64.63,9.75,9.75,11.74,4.13
300,AbdomenCT1K,63.74,9.88,9.88,13.62,2.87
301,AbdomenCT1K,69.84,6.92,6.92,11.29,5.04
302,AbdomenCT1K,69.58,10.48,10.48,6.3,3.16
303,AbdomenCT1K,66.56,10.055,10.055,9.69,3.64
304,AbdomenCT1K,72.58,6.255,6.255,12.37,2.54
305,AbdomenCT1K,69.77,9.57,9.57,8.7,2.4
306,AbdomenCT1K,67.08,9.205,9.205,11.69,2.82
307,AbdomenCT1K,74.32,6.41,6.41,9.97,2.89
308,AbdomenCT1K,77.67,6.95,6.95,6.03,2.4
309,AbdomenCT1K,70.22,8.455,8.455,7.7,5.18
310,AbdomenCT1K,67.19,10,10,9.07,3.74
311,AbdomenCT1K,64.15,7.415,7.415,17.47,3.55
312,AbdomenCT1K,65.66,11.55,11.55,8.13,3.11
313,AbdomenCT1K,61.52,13.655,13.655,8.43,2.74
314,AbdomenCT1K,65.75,10.375,10.375,11.21,2.29
315,AbdomenCT1K,59.43,14.73,14.73,8.1,3.01
316,AbdomenCT1K,69.49,7.77,7.77,11.46,3.51
317,AbdomenCT1K,80.71,5.975,5.975,5.73,1.61
318,AbdomenCT1K,76.48,6.235,6.235,8.63,2.42
319,AbdomenCT1K,68.08,7.505,7.505,13.27,3.64
320,AbdomenCT1K,73,8.255,8.255,6.37,4.12
321,AbdomenCT1K,68.47,10.105,10.105,7.22,4.11
322,AbdomenCT1K,60.71,11.76,11.76,12.92,2.85
323,AbdomenCT1K,69.25,8.05,8.05,11.18,3.46
324,AbdomenCT1K,71.43,9.47,9.47,6.76,2.87
325,AbdomenCT1K,67.74,10.86,10.86,6.78,3.77
326,AbdomenCT1K,57.26,12.695,12.695,12.11,5.23
327,AbdomenCT1K,72.32,8.44,8.44,7.15,3.64
328,AbdomenCT1K,75.05,7.44,7.44,6.6,3.47
329,AbdomenCT1K,70.86,8.345,8.345,8.71,3.73
330,AbdomenCT1K,72.66,8.485,8.485,6.24,4.13
331,AbdomenCT1K,70.47,8.71,8.71,7.55,4.56
332,AbdomenCT1K,72.95,7.69,7.69,7.61,4.05
333,AbdomenCT1K,77.48,5.54,5.54,8.65,2.79
334,AbdomenCT1K,77.4,6.065,6.065,7.9,2.57
335,AbdomenCT1K,71.64,7.985,7.985,9.22,3.16
336,AbdomenCT1K,68.85,7.89,7.89,11.35,4.01
337,AbdomenCT1K,66.91,9.085,9.085,11.31,3.6
338,AbdomenCT1K,73.67,6.85,6.85,8.45,4.19
339,AbdomenCT1K,75.92,6.725,6.725,7.02,3.6
340,AbdomenCT1K,69.12,6.145,6.145,13.96,4.63
341,AbdomenCT1K,75.76,7.51,7.51,7.11,2.11
342,AbdomenCT1K,71.67,7.375,7.375,9.35,4.23
343,AbdomenCT1K,65.47,7.575,7.575,14.89,4.49
344,AbdomenCT1K,72.81,6.19,6.19,11.08,3.73
345,AbdomenCT1K,72.73,6.09,6.09,8.17,6.92
346,AbdomenCT1K,68.52,6.745,6.745,14.17,3.82
347,AbdomenCT1K,72.36,7.12,7.12,8.8,4.59
348,AbdomenCT1K,68.68,8.02,8.02,10.86,4.42
349,AbdomenCT1K,68.96,9.225,9.225,9.78,2.81
350,AbdomenCT1K,66.85,8.88,8.88,10.32,5.06
351,AbdomenCT1K,62.08,9.775,9.775,13.84,4.54
352,AbdomenCT1K,70.62,8.91,8.91,8.88,2.69
353,AbdomenCT1K,61.63,10.355,10.355,10.61,7.06
354,AbdomenCT1K,70.96,10.465,10.465,4.22,3.89
355,AbdomenCT1K,71.68,8.75,8.75,5.09,5.72
356,AbdomenCT1K,72.71,8.715,8.715,4.69,5.18
357,AbdomenCT1K,66.86,6.665,6.665,16.71,3.1
358,AbdomenCT1K,70.85,6.65,6.65,9.72,6.13
359,AbdomenCT1K,68.73,7.765,7.765,13.9,1.84
360,AbdomenCT1K,71.77,7.975,7.975,9.48,2.8
361,AbdomenCT1K,66.83,7.93,7.93,13.84,3.47
362,AbdomenCT1K,73.02,7.115,7.115,8.46,4.29
363,AbdomenCT1K,62.13,13.86,13.86,7.2,2.95
364,AbdomenCT1K,70.31,10.005,10.005,6.67,3.01
365,AbdomenCT1K,67.44,7.27,7.27,14.08,3.94
366,AbdomenCT1K,74.35,7.565,7.565,6.99,3.53
367,AbdomenCT1K,63.27,11.68,11.68,9.78,3.6
368,AbdomenCT1K,77.69,5.92,5.92,6.55,3.92
369,AbdomenCT1K,72.34,8.05,8.05,9.44,2.12
370,AbdomenCT1K,60.22,9.82,9.82,18.31,1.83
371,AbdomenCT1K,71.62,8.235,8.235,8.47,3.44
372,AbdomenCT1K,76.14,8.39,8.39,4.49,2.59
373,AbdomenCT1K,73.18,6.515,6.515,8.22,5.58
374,AbdomenCT1K,67,9.93,9.93,7.11,6.02
375,AbdomenCT1K,71.59,9.795,9.795,4.94,3.88
376,AbdomenCT1K,64.62,6.74,6.74,16.28,5.63
377,AbdomenCT1K,62.51,4.855,4.855,21.06,6.73
378,AbdomenCT1K,66.67,8.165,8.165,13.86,3.13
379,AbdomenCT1K,70.55,8.625,8.625,9.13,3.07
380,AbdomenCT1K,73.3,6.635,6.635,8.96,4.46
381,AbdomenCT1K,70.06,7.095,7.095,10.75,5
382,AbdomenCT1K,68.14,10.3,10.3,5.98,5.28
383,AbdomenCT1K,75.03,6.36,6.36,9.16,3.09
384,AbdomenCT1K,74,6.895,6.895,9.97,2.23
385,AbdomenCT1K,70.96,7.875,7.875,9.02,4.27
386,AbdomenCT1K,61.37,8.33,8.33,19.99,1.99
387,AbdomenCT1K,68.37,9.755,9.755,6.55,5.57
388,AbdomenCT1K,64.9,9.6,9.6,11.7,4.21
389,AbdomenCT1K,71.78,8.67,8.67,7.46,3.42
390,AbdomenCT1K,66.33,8.56,8.56,13.25,3.3
391,AbdomenCT1K,70.8,9.575,9.575,8.92,1.13
392,AbdomenCT1K,73.91,7.07,7.07,9.48,2.46
393,AbdomenCT1K,66.08,8.445,8.445,13.1,3.93
394,AbdomenCT1K,70.48,6.615,6.615,14.11,2.18
395,AbdomenCT1K,64.05,7.645,7.645,16.4,4.27
396,AbdomenCT1K,79.9,5.88,5.88,5.92,2.42
397,AbdomenCT1K,69.71,7.48,7.48,11.96,3.38
398,AbdomenCT1K,73.87,7.84,7.84,6.21,4.24
399,AbdomenCT1K,72.88,7.815,7.815,10.4,1.08
400,AbdomenCT1K,74.29,7.81,7.81,6.83,3.26
401,AbdomenCT1K,69.21,9.16,9.16,9.81,2.67
402,AbdomenCT1K,67.23,8.99,8.99,10.53,4.26
403,AbdomenCT1K,66.63,8.83,8.83,12.88,2.83
404,AbdomenCT1K,66.6,9.73,9.73,10.83,3.11
405,AbdomenCT1K,68.28,9.73,9.73,8.32,3.94
406,AbdomenCT1K,68.05,11.69,11.69,4.8,3.77
407,AbdomenCT1K,73.92,8.745,8.745,6.27,2.32
408,AbdomenCT1K,55.73,16.105,16.105,8.96,3.09
409,AbdomenCT1K,74.72,7.105,7.105,8.66,2.41
410,AbdomenCT1K,70.9,8.665,8.665,8.56,3.21
411,AbdomenCT1K,66.46,11.06,11.06,6.96,4.46
412,AbdomenCT1K,74.51,7.315,7.315,9.25,1.61
413,AbdomenCT1K,73.32,8.87,8.87,8.07,0.87
414,AbdomenCT1K,72.48,7.99,7.99,7.32,4.21
415,AbdomenCT1K,71.79,7.715,7.715,7.83,4.96
416,AbdomenCT1K,67.87,9.05,9.05,10.51,3.53
417,AbdomenCT1K,62.59,11.75,11.75,9.72,4.19
418,AbdomenCT1K,63.13,6.47,6.47,20.57,3.35
419,AbdomenCT1K,71.38,7.39,7.39,9.14,4.7
420,AbdomenCT1K,74.74,5.74,5.74,11.05,2.74
421,AbdomenCT1K,73.34,7.97,7.97,6.02,4.7
422,AbdomenCT1K,72.69,7.02,7.02,10.8,2.47
423,AbdomenCT1K,76.2,8.06,8.06,5.16,2.51
424,AbdomenCT1K,72.91,8.72,8.72,5.6,4.05
425,AbdomenCT1K,74.97,6.785,6.785,8.34,3.12
426,AbdomenCT1K,69.85,7.88,7.88,10.92,3.46
427,AbdomenCT1K,62.13,9.945,9.945,13,4.97
428,AbdomenCT1K,73.78,6.48,6.48,8.92,4.33
429,AbdomenCT1K,75.75,6.37,6.37,8.36,3.15
430,AbdomenCT1K,72.04,7.575,7.575,9.43,3.38
431,AbdomenCT1K,71.38,7.84,7.84,7.46,5.48
432,AbdomenCT1K,72.86,8.54,8.54,4.52,5.54
433,AbdomenCT1K,72.25,9.06,9.06,6.64,2.98
434,AbdomenCT1K,68.95,8.725,8.725,9.04,4.57
435,AbdomenCT1K,71.07,7.4,7.4,10.28,3.85
436,AbdomenCT1K,69.63,7.665,7.665,10.47,4.57
437,AbdomenCT1K,65.08,9.13,9.13,12.92,3.74
